Part Number,Product Name,Description,Price 2025,Price 2024,Category,Subcategory,Product Line,Model Info,Parent Assembly,Vendor
1004292,7 Amp circuit breaker,,24.00,18.70,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1004322,20 Amp circuit breakers,,23.80,18.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1033049,3 PH circuit break 7.5A,,560.80,436.20,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1001006,BZ-2RW80 limit switch,,76.45,59.45,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1001007,Plastic Enclosure for limit switch,,19.75,15.40,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1000921,Key switch 800T J631B,,792.90,584.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1023315,P & S Pendant plug,,94.95,65.80,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1023316,P & S Receptacle,,50.60,39.35,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2059115,P & S Pendant control,,853.65,540.75,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2059108,Hubble plug,,147.10,163.50,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2059114,Hubble pendant control,,905.80,576.50,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2069209,Hubble receptacle,,126.95,96.50,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2119309,"P&S cover (Included:cover, socket, circuit breaker, Override sw.)",,236.40,173.65,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
M043009,"Hubble cover (Included:cover, socket, circuit breaker, Override sw.)",,487.50,353.30,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2119684,Motor tester assembly,,907.70,642.70,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1005762,Relay 120v,,141.60,105.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1037635,Relay board controller (rev-120v),,526.10,391.65,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1022382,"Pendant control 12""-0 (RO26)",,790.85,447.15,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1031470,Female pendant socket (socket S 5404-AB 4P 15A),,24.30,18.90,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1040013,Male plug (plug P5404-CCT 14P 15A),,28.60,22.25,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
,RO26 Pendant box - parts as follows,,248.00,187.20,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2020853,Cover,,171.55,127.75,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,RO26 Pendant box,,Hussey
1038718,Pigtail,,62.90,48.90,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,RO26 Pendant box,,Hussey
1023311,Box,,13.55,10.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,RO26 Pendant box,,Hussey
1041788,Override switch (carling sw. on/off),,5.75,4.45,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1042845,Power Trac III w/ 60:1 gear box,,4146.50,3318.05,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1023562,Power Trac IV w/ 87:1 gear box,,9100.45,6737.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1033934,"1/2 horse motor for PRT3 and PRT4 (single PH) & jumper, 1725 RPM",,734.45,565.80,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2101663,Jumper (send w/ motor above) (price if sold separate),,66.25,50.00,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1038475,Comp. spring 1 1/2 x 3 blue (1 per tractor mount),,26.25,20.45,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1029688,PRT guide (1 per tractor mount),,37.15,28.90,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1042325,Ret ring 3/4 (1per guide),,0.40,0.30,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1000759,3/4 hex nut ( 3 per guide),,1.05,0.85,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2125594,Gear reducer 60-1 (Cleveland),,449.65,349.45,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1027668,Adapter plate (for gear reducer),,35.50,18.15,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1032004,MS 1/4 x 1 (4),,0.15,0.15,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1000776,1/4 lock washer (4),,0.10,0.10,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1025400,1/4 nut (4),,0.10,0.05,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1014020,87: 1 gear box PRT4,,3088.90,2091.95,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2105401,"70:1 gear box kit (with an adapter plate, included)",,977.80,729.70,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2108645,"50:1 gear box kit (with an adapter plate, included)",,751.70,559.00,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2105521,PRT3 w/ 70:1 gear box (may need an adaptor plate),,4635.60,3687.40,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2115517,PRT3 w/ 50:1 gear box (may need an adaptor plate),,4409.50,3516.70,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2105525,"Motor, 120V, 60 Hz motor w/ relay box, single phase, 1725 RPM",,3229.50,2639.85,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1005412,7/8' flange bearing,,46.60,37.70,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1038574,19.25' Roller Shaft (after 11/90 ),,67.15,44.45,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1028330,21.00' Roller Shaft ( before 11/90 ),,128.60,100.00,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1031786,Roller Shaft Support,,10.65,7.75,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1039975,Sprocket 40B26 - 26 tooth (after 11/1991),,56.55,45.15,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1017542,Double Sprocket DS40A13,,189.15,142.85,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2088802,Sprocket 40B30 - 30 tooth (before 11/1991),,72.05,56.05,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1040117,"Chain #40 x 26.5""",,20.50,15.50,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1000917,40 amp Contactor,,1508.15,1173.00,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1019407,Master Link - #40 chain,,0.55,0.40,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1037629,Motor Mount RO26,,106.50,73.90,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
2098389,Ingot cast iron 13x5x1.5,,68.10,53.00,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1016601,PRT III Weight Bracket,,666.60,406.15,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1027753,PRT IV Weight Bracket double,,566.50,414.90,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
1039347,Tractor receptacle + hardware (2 per section required),,98.60,76.70,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor receptacle + hardware,,Hussey
