Product Name,Product Description,Part #,Price2025,Price2024,Price2023,Price2022,Quantity,Spec 1,Spec 2,Spec 3,Color (picklist?)
"Hubble cover (Included:cover, socket, circuit breaker, Override sw.) ",,M043009,$487.50,$353.30,$291.35,$281.05,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Motor tester assembly,,2119684,$907.70,$642.70,$544.30,$537.80,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Relay 120v,,1005762,$141.60,$105.55,$102.10,$102.10,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Relay board controller (rev-120v),,1037635,$526.10,$391.65,$341.95,$356.15,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"Pendant control 12""-0 (RO26)",,1022382,$790.85,$447.15,$375.15,$356.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Female pendant socket (socket S 5404-AB 4P 15A),,1031470,$24.30,$18.90,$18.90,$18.90,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Male plug (plug P5404-CCT 14P 15A),,1040013,$28.60,$22.25,$20.00,$13.35,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
RO26 Pendant box - parts as follows,,,$248.00,$187.20,$180.10,$172.65,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
        Cover,,2020853,$171.55,$127.75,$120.65,$113.20,,119- Rollout TP Pricing,ELECTRICAL PARTS,RO26 Pendant box,
        Pigtail,,1038718,$62.90,$48.90,$48.90,$48.90,,119- Rollout TP Pricing,ELECTRICAL PARTS,RO26 Pendant box,
        Box,,1023311,$13.55,$10.55,$10.55,$10.55,,119- Rollout TP Pricing,ELECTRICAL PARTS,RO26 Pendant box,
Override switch (carling sw. on/off),,1041788,$5.75,$4.45,$4.45,$4.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Power Trac III w/ 60:1 gear box,,1042845,"$4,146.50","$3,318.05","$2,597.75","$2,572.85",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Power Trac IV w/ 87:1 gear box,,1023562,"$9,100.45","$6,737.55","$5,556.45","$5,509.85",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"1/2 horse motor for PRT3 and PRT4  (single PH) & jumper, 1725 RPM ",,1033934,$734.45,$565.80,$565.80,$565.80,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Jumper (send w/ motor above)  (price if sold separate),,2101663,$66.25,$50.00,$50.00,$50.00,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Comp. spring 1 1/2 x 3 blue  (1 per tractor mount),,1038475,$26.25,$20.45,$20.45,$20.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
PRT guide    (1 per tractor mount),,1029688,$37.15,$28.90,$23.80,$23.80,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Ret ring 3/4  (1per guide),,1042325,$0.40,$0.30,$0.30,$0.30,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
3/4 hex nut    ( 3 per guide),,1000759,$1.05,$0.85,$0.85,$0.85,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Gear reducer 60-1 (Cleveland),,2125594,$449.65,$349.45,$349.45,$349.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Adapter plate (for gear reducer),,1027668,$35.50,$18.15,$16.95,$16.95,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
MS 1/4 x 1 (4) ,,1032004,$0.15,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
1/4 lock washer (4),,1000776,$0.10,$0.10,$0.10,$0.10,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
1/4 nut (4),,1025400,$0.10,$0.05,$0.05,$0.05,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
87: 1 gear box PRT4,,1014020,"$3,088.90","$2,091.95","$1,735.25","$1,663.75",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"70:1 gear box kit    (with an adapter plate, included)",,2105401,$977.80,$729.70,$694.30,$694.30,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"50:1 gear box kit    (with an adapter plate, included)",,2108645,$751.70,$559.00,$558.00,$558.00,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
PRT3 w/ 70:1 gear box      (may need an adaptor plate),,2105521,"$4,635.60","$3,687.40","$2,905.85","$2,897.85",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
PRT3 w/ 50:1 gear box      (may need an adaptor plate),,2115517,"$4,409.50","$3,516.70","$2,782.57","$2,761.55",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"Motor, 120V, 60 Hz motor w/ relay box, single phase, 1725 RPM",,2105525,"$3,229.50","$2,639.85","$2,018.70","$1,943.35",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
7/8” flange bearing,,1005412,$46.60,$37.70,$37.70,$37.70,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
19.25” Roller Shaft (after 11/90 ),,1038574,$67.15,$44.45,$44.45,$44.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
21.00” Roller Shaft ( before 11/90 ),,1028330,$128.60,$100.00,$100.00,$100.00,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Roller Shaft Support,,1031786,$10.65,$7.75,$72.70,$72.70,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Sprocket 40B26 - 26 tooth (after 11/1991),,1039975,$56.55,$45.15,$45.15,$45.15,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Double Sprocket DS40A13,,1017542,$189.15,$142.85,$142.85,$142.85,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
